cell_id,config_id,sequence_id,repeat_index,config_sha256,bootstrap_track_id,bootstrap_iou,tracker_generated_digest,tim_generated_digest
dev_june_seq04__track_buffer_lower_1,track_buffer_lower_1,dev_june_seq04,,49193a10c4ac728060cb717ef0e730f1723dd48bd0dfa3ab9876f1f280f1c9e3,5,0.890535,a28f037caffef0f1f67d75762d4852d783e201165755acc75cb40bcdf2f341cb,317eec9cb508ada5a541d0259f220dbed3c40ef1aa95d0f71d3b05fd24012201
dev_june_seq04__track_thresh_higher_1,track_thresh_higher_1,dev_june_seq04,,0ad50708516d1d632a211aac28ca683dbbbf51564ee63b5addd8c3882d59e31e,5,0.890535,50c2ea70b6456af001d717ee72a0be395640a92b42e73e82e8b7a41e60305c89,c2af9e469656a20fd91ce53f5006138a9d7dd25c427d7ceea52e33e752b570e8
dev_june_seq04__track_thresh_lower_1,track_thresh_lower_1,dev_june_seq04,,b70053a13f97158225f45bd76317f3b02690c923a4a4e6e9a5b177a1f381b00f,5,0.890535,8578449293cd0ebde047727e6e867883065bd96279e7e20f94e896b85d344b44,96e5ab0a979c020ebfe4f06bfd903e446d0efee520eb4039e116bb514806d6a7
dev_may_hard_reentry__canonical_baseline,canonical_baseline,dev_may_hard_reentry,,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.947474,a0ac43a539fb52d4fd338906a9de67d839d78cb537dfd83351c28f029895e207,b803517043d1bac985f136e0ed852c401bd1cb42223674fa20fdf29a6bdd1f0e
dev_may_hard_reentry__canonical_baseline_r1,canonical_baseline,dev_may_hard_reentry,1,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.947474,a0ac43a539fb52d4fd338906a9de67d839d78cb537dfd83351c28f029895e207,b803517043d1bac985f136e0ed852c401bd1cb42223674fa20fdf29a6bdd1f0e
dev_may_hard_reentry__canonical_baseline_r2,canonical_baseline,dev_may_hard_reentry,2,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.947474,a0ac43a539fb52d4fd338906a9de67d839d78cb537dfd83351c28f029895e207,b803517043d1bac985f136e0ed852c401bd1cb42223674fa20fdf29a6bdd1f0e
dev_may_hard_reentry__match_thresh_higher_1,match_thresh_higher_1,dev_may_hard_reentry,,41175638b72bb737a5e3bb4665a9f5134de0b0d7beea8ed1e7969352302dca10,1,0.947474,034f4f37e74b837d8492945b2426af58d1c4d91b1b36ff36c70c376b06f8f026,24899f014f3720bfcb22528f27b1c74da1318e1f68f64516d2afca2362a92428
dev_may_hard_reentry__match_thresh_lower_1,match_thresh_lower_1,dev_may_hard_reentry,,d9921fe642152ff2fbf0433b8d1b2c10f24acdea861b3722e2ea986e0589ccd9,1,0.947474,fdb8fd23d0cb40918934cf5d20be358f19ddf7f1c551814596ad15dc2174651c,c795cf3e203fd1f668ca3059762eefc4fe85b7eb1d54747b552c90e2b22b8e1b
dev_may_hard_reentry__track_buffer_higher_1,track_buffer_higher_1,dev_may_hard_reentry,,956f8f19ccf81922fceaedc5a1fd6a7c125fdd0376aa2eb66bc0ea87b6dec17f,1,0.947474,8291f07dc908cba0ee33a64961778c3dd43051a0af89d1300fb3cd081f211b6c,36d1e4ae3e91156cbac9fc0b51a14fce0adbd5373a76e259f391f91648c33b6c
dev_may_hard_reentry__track_buffer_lower_1,track_buffer_lower_1,dev_may_hard_reentry,,49193a10c4ac728060cb717ef0e730f1723dd48bd0dfa3ab9876f1f280f1c9e3,1,0.947474,744e1fbdd2aea723925e5de32b0819daef7c677b269d29e15024410b5387cc72,a794bf01991ea036eaf56c1b0c5ca10bdbb5217db369d1f0c41ca32ec29fbb19
dev_may_hard_reentry__track_thresh_higher_1,track_thresh_higher_1,dev_may_hard_reentry,,0ad50708516d1d632a211aac28ca683dbbbf51564ee63b5addd8c3882d59e31e,1,0.947474,793b84fd92240c45c27f6fa4c049ff72c8daec7d9055f3a851b893dba476d56c,be4d760e3bb6a092f2d36093f0b9b7167382b87ef5e58c79a0bcb790541378ca
dev_may_hard_reentry__track_thresh_lower_1,track_thresh_lower_1,dev_may_hard_reentry,,b70053a13f97158225f45bd76317f3b02690c923a4a4e6e9a5b177a1f381b00f,1,0.947474,9be06b8a4ecaf6cb5d84b433653b0bb2f2b16aa230f1f9da76b4f776a7ffe844,aa6ba0dfb34856fc4b9af2bb94e4aadd4d7f211f5a24cc1a2662f0b11dcb4804
